bench., WCET, st. stored, st. explored, CPU time (ms), virt. mem. (KiB), res. mem. (KiB), cache hit, cache miss, OK stat. pred. T, KO stat. pred. T, OK stat. pred. NT, KO stat. pred. NT, OK dyn. pred. T, KO dyn. pred. T, OK dyn. pred. NT, KO dyn. pred. NT, KO dyn. pred. @, BTB overwites, IBuff poped inst., IBuff flush count, IBuff flushed inst., executed inst. 
bs-O1,315,586,587,10,47912,12860,115,6,0,0,4,15,0,0,0,0,0,0,17,15,53,68
bs-O2,236,451,452,10,47416,12288,86,5,0,0,6,10,0,0,0,0,0,0,12,10,35,56
bsort100-O1,5774,12457,12458,130,51840,29520,3307,9,0,0,2,402,0,0,0,0,0,0,598,402,1985,1331
bsort100-O2,5507,11982,11983,120,51136,28160,3199,10,0,0,99,303,0,0,0,0,0,0,895,303,1880,1329
cnt-O2,4204,11279,11280,110,53188,30888,3478,14,0,0,122,205,0,0,0,0,0,0,1468,205,1699,1793
crc-O1,63979,157612,157613,1670,573928,552504,46735,21,0,0,2568,9387,0,0,0,0,0,0,6607,9387,14157,32599
crc-O2,55609,144653,144654,1480,503396,496980,44448,19,0,0,3158,6493,0,0,0,0,0,0,10388,6493,15332,29135
expint-O1,2304,5967,5968,50,55176,22680,1780,14,0,0,3,354,0,0,0,0,0,0,27,354,374,1420
expint-O2,1457,4118,4119,30,47016,14024,1308,5,0,0,100,104,0,0,0,0,0,0,0,104,104,1209
fdct-O1,4105,6823,6824,50,57360,24356,1272,24,0,0,2,19,0,0,0,0,0,0,1027,19,131,1165
fdct-O2,4283,7080,7081,60,59216,26168,1299,27,0,0,2,19,0,0,0,0,0,0,1048,19,141,1185
fibcall-O1,409,949,950,10,47176,12260,253,5,0,0,27,35,0,0,0,0,0,0,4,35,40,218
fibcall-O2,257,590,591,10,46104,11092,154,3,0,0,1,32,0,0,0,0,0,0,0,32,32,125
fir-O1,342157,728321,728322,4760,690536,663644,193041,11,0,0,1418,12453,0,0,0,0,0,0,56856,12453,106447,86605
fir-O2,329716,692704,692705,4410,646272,615880,181454,11,0,0,2082,11789,0,0,0,0,0,0,51249,11789,105908,75557
insertsort-O2,1701,2995,2996,20,48388,14324,615,8,0,0,26,40,0,0,0,0,0,0,220,40,326,297
janne_complex-O1,376,779,780,10,47736,12716,181,6,0,0,14,41,0,0,0,0,0,0,3,41,46,141
janne_complex-O2,310,594,595,0,47896,12756,117,6,0,0,13,18,0,0,0,0,0,0,0,18,18,105
jfdctint-O1,5536,11121,11122,100,58852,32236,2702,25,0,0,3,82,0,0,0,0,0,0,1840,82,698,2029
jfdctint-O2,5702,11349,11350,100,60956,34460,2712,29,0,0,3,82,0,0,0,0,0,0,1905,82,688,2053
ns-O1,11833,32482,32483,250,65096,45448,10288,9,0,0,374,1067,0,0,0,0,0,0,1874,1067,6068,4229
ns-O2,11329,31229,31230,240,60952,40672,9919,7,0,0,781,627,0,0,0,0,0,0,3119,627,5611,4315
prime-O1,4159,12072,12073,80,50136,26972,3925,8,0,0,437,437,0,0,0,0,0,0,3,437,443,3490
prime-O2,4164,12056,12057,80,49460,25940,3915,8,0,0,435,437,0,0,0,0,0,0,0,437,437,3486
ud-O2,5581,11305,11306,370,508424,492208,2745,30,0,0,112,144,0,0,0,0,0,0,1105,144,1172,1603
