bench., WCET, st. stored, st. explored, CPU time (ms), virt. mem. (KiB), res. mem. (KiB), cache hit, cache miss, OK stat. pred. T, KO stat. pred. T, OK stat. pred. NT, KO stat. pred. NT, OK dyn. pred. T, KO dyn. pred. T, OK dyn. pred. NT, KO dyn. pred. NT, KO dyn. pred. @, BTB overwites, IBuff poped inst., IBuff flush count, IBuff flushed inst., executed inst. 
bs-O1, 312, 575, 576, 10, 47912, 12868, 111, 6, 5, 1, 3, 10, 0, 0, 0, 0, 0, 0, 15, 17, 49, 68 
bs-O2, 231, 440, 441, 0, 47420, 12284, 82, 5, 5, 1, 5, 5, 0, 0, 0, 0, 0, 0, 8, 13, 31, 56 
bsort100-O1, 5520, 11807, 11808, 120, 51832, 28772, 3109, 9, 200, 2, 0, 202, 0, 0, 0, 0, 0, 0, 697, 406, 1787, 1331 
bsort100-O2, 5408, 11507, 11508, 120, 51004, 27612, 3011, 10, 199, 1, 98, 104, 0, 0, 0, 0, 0, 0, 794, 306, 1692, 1329 
cnt-O2, 4095, 11014, 11015, 120, 53188, 30632, 3401, 14, 201, 22, 100, 4, 0, 0, 0, 0, 0, 0, 1240, 249, 1622, 1793 
crc-O1, 59778, 145076, 145077, 1540, 506308, 496188, 42571, 20, 4689, 516, 2052, 4698, 0, 0, 0, 0, 0, 0, 5995, 10419, 9992, 32599 
crc-O2, 52171, 133381, 133382, 1440, 469968, 449128, 40527, 19, 4435, 512, 2646, 2058, 0, 0, 0, 0, 0, 0, 10861, 9565, 11411, 29135 
expint-O1, 2139, 5504, 5505, 40, 55176, 22396, 1632, 14, 150, 2, 1, 204, 0, 0, 0, 0, 0, 0, 23, 358, 226, 1420 
expint-O2, 1350, 3815, 3816, 40, 47020, 13836, 1209, 5, 100, 1, 99, 4, 0, 0, 0, 0, 0, 0, 0, 106, 5, 1209 
fdct-O1, 4066, 6817, 6818, 50, 57364, 24380, 1289, 24, 16, 2, 0, 3, 0, 0, 0, 0, 0, 0, 1035, 23, 148, 1165 
fdct-O2, 4249, 7074, 7075, 50, 59220, 26180, 1312, 27, 16, 2, 0, 3, 0, 0, 0, 0, 0, 0, 1057, 23, 154, 1185 
fibcall-O1, 382, 860, 861, 10, 47176, 12200, 222, 5, 30, 0, 27, 5, 0, 0, 0, 0, 0, 0, 3, 35, 9, 218 
fibcall-O2, 221, 500, 501, 10, 46100, 11024, 126, 3, 29, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 34, 4, 125 
fir-O1, 331111, 706363, 706364, 4600, 651812, 644508, 187585, 11, 11749, 700, 718, 704, 0, 0, 0, 0, 0, 0, 43013, 13853, 100991, 86605 
fir-O2, 318652, 670424, 670425, 4310, 611516, 600316, 175845, 11, 11767, 700, 1382, 22, 0, 0, 0, 0, 0, 0, 36006, 13189, 100299, 75557 
insertsort-O2, 1675, 3044, 3045, 20, 48388, 14376, 658, 7, 37, 9, 17, 3, 0, 0, 0, 0, 0, 0, 222, 58, 368, 297 
janne_complex-O1, 365, 744, 745, 10, 47740, 12696, 169, 6, 14, 2, 12, 27, 0, 0, 0, 0, 0, 0, 3, 45, 34, 141 
janne_complex-O2, 320, 593, 594, 10, 47892, 12764, 114, 6, 12, 9, 4, 6, 0, 0, 0, 0, 0, 0, 0, 36, 15, 105 
jfdctint-O1, 5532, 11019, 11020, 100, 58856, 32132, 2653, 25, 79, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1803, 88, 649, 2029 
jfdctint-O2, 5667, 11248, 11249, 100, 60960, 34376, 2678, 29, 79, 3, 0, 3, 0, 0, 0, 0, 0, 0, 1841, 88, 654, 2053 
ns-O1, 11517, 31571, 31572, 240, 65100, 45152, 9994, 9, 532, 250, 124, 535, 0, 0, 0, 0, 0, 0, 1129, 1567, 5774, 4229 
ns-O2, 10845, 29802, 29803, 230, 60952, 40000, 9456, 5, 625, 156, 625, 2, 0, 0, 0, 0, 0, 0, 1873, 939, 5146, 4315 
prime-O1, 3724, 10783, 10784, 60, 49996, 25548, 3497, 8, 431, 2, 435, 6, 0, 0, 0, 0, 0, 0, 3, 441, 15, 3490 
prime-O2, 3719, 10754, 10755, 80, 49332, 24548, 3486, 8, 431, 2, 433, 6, 0, 0, 0, 0, 0, 0, 0, 441, 8, 3486 
ud-O2, 5535, 11715, 11716, 420, 541192, 510500, 2968, 30, 124, 55, 57, 20, 0, 0, 0, 0, 0, 0, 854, 254, 1395, 1603 
